Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,fully_connected,10,0.1,0.1,10,12,"violent"
push_sum,line,10,0,0.1,10,9,"violent"
push_sum,grid,10,0,0.1,10,11,"violent"
push_sum,fully_connected,10,0.5,0.1,10,8,"violent"
push_sum,grid,10,0.1,0.1,10,7,"violent"
push_sum,line,10,0.1,0.1,10,8,"violent"
push_sum,grid,10,0.1,0.5,10,7,"violent"
push_sum,imperfect_grid,10,0,0.1,10,7,"violent"
push_sum,line,10,0.5,0.5,10,8,"violent"
push_sum,grid,10,0,0.5,10,8,"violent"
push_sum,imperfect_grid,10,0,0.5,10,7,"violent"
push_sum,fully_connected,10,0,0.5,10,7,"violent"
push_sum,line,10,0.1,0.5,10,11,"violent"
push_sum,grid,20,0,0.5,10,8,"violent"
push_sum,imperfect_grid,10,0.1,0.1,10,8,"violent"
push_sum,imperfect_grid,10,0.5,0.5,10,7,"violent"
push_sum,imperfect_grid,10,0.5,0.1,10,7,"violent"
push_sum,fully_connected,10,0.1,0.5,10,9,"violent"
push_sum,fully_connected,20,0,0.1,10,10,"violent"
push_sum,fully_connected,20,0.5,0.1,10,11,"violent"
push_sum,fully_connected,10,0,0.1,10,10,"violent"
push_sum,fully_connected,10,0.5,0.5,10,13,"violent"
push_sum,line,10,0.5,0.1,10,7,"violent"
push_sum,grid,20,0.5,0.5,10,7,"violent"
push_sum,fully_connected,20,0,0.5,10,8,"violent"
push_sum,line,20,0.1,0.5,10,7,"violent"
push_sum,imperfect_grid,10,0,0,10,22,"violent"
push_sum,line,20,0.5,0.1,10,8,"violent"
push_sum,imperfect_grid,20,0.5,0.1,10,7,"violent"
push_sum,fully_connected,20,0.1,0.5,10,12,"violent"
push_sum,fully_connected,50,0.1,0.5,10,8,"violent"
push_sum,imperfect_grid,20,0,0,10,15,"violent"
push_sum,line,20,0.5,0.5,10,7,"violent"
push_sum,imperfect_grid,20,0.5,0.5,10,7,"violent"
push_sum,fully_connected,50,0,0.5,10,9,"violent"
push_sum,fully_connected,50,0,0.1,10,10,"violent"
push_sum,grid,50,0,0.1,10,13,"violent"
push_sum,fully_connected,20,0.5,0.5,10,7,"violent"
push_sum,fully_connected,50,0.5,0.1,10,20,"violent"
push_sum,imperfect_grid,20,0.1,0.1,10,9,"violent"
push_sum,imperfect_grid,20,0.1,0.5,10,9,"violent"
push_sum,imperfect_grid,50,0,0.5,10,7,"violent"
push_sum,line,50,0.1,0.5,10,7,"violent"
push_sum,grid,50,0.1,0.5,10,7,"violent"
push_sum,fully_connected,75,0,0.1,10,11,"violent"
push_sum,grid,50,0.5,0.5,10,10,"violent"
push_sum,imperfect_grid,20,0,0.1,10,25,"violent"
