Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,fully_connected,5,0,0,5,166
push_sum,fully_connected,5,0.1,0.5,5,8
push_sum,fully_connected,5,0,0.1,25,9
push_sum,fully_connected,5,0,0,25,8
push_sum,fully_connected,5,0.5,0.1,5,8
push_sum,grid,5,0,0.5,25,7
push_sum,fully_connected,5,0,0.5,5,8
push_sum,grid,5,0,0.1,5,11
push_sum,fully_connected,5,0.5,0.5,50,7
push_sum,fully_connected,5,0.5,0.5,5,8
push_sum,grid,5,0,0.5,5,9
push_sum,fully_connected,5,0.1,0.1,50,9
push_sum,grid,5,0.1,0.5,5,7
push_sum,line,5,0,0.1,25,15
push_sum,line,5,0,0.5,5,8
push_sum,line,5,0.1,0.1,5,13
push_sum,grid,5,0.5,0.5,5,7
push_sum,fully_connected,5,0,0.1,50,16
push_sum,grid,5,0.5,0.5,25,7
push_sum,fully_connected,5,0.1,0.5,50,8
push_sum,fully_connected,5,0.1,0.5,25,7
push_sum,grid,5,0.1,0.1,25,8
push_sum,grid,5,0,0.5,50,7
push_sum,grid,5,0.5,0.1,25,7
push_sum,imperfect_grid,5,0.5,0,5,11
push_sum,fully_connected,5,0,0.5,25,8
push_sum,grid,5,0.1,0.5,50,7
push_sum,grid,5,0.5,0.5,50,7
push_sum,grid,5,0.1,0.5,25,7
push_sum,imperfect_grid,5,0,0,50,22
push_sum,fully_connected,5,0.1,0.1,25,15
push_sum,line,5,0,0.1,50,7
push_sum,line,5,0,0.5,25,9
push_sum,line,5,0.5,0.1,5,14
push_sum,line,5,0.1,0.5,5,7
push_sum,grid,5,0.1,0.1,5,18
push_sum,imperfect_grid,5,0.1,0,50,8
push_sum,line,5,0,0.5,50,7
push_sum,fully_connected,5,0.5,0.1,25,14
push_sum,imperfect_grid,5,0,0.5,5,8
push_sum,grid,5,0.1,0.1,50,15
push_sum,fully_connected,5,0.1,0.1,5,23
push_sum,line,5,0.1,0.5,50,8
push_sum,line,5,0.1,0.5,25,10
push_sum,line,5,0.5,0.5,5,7
push_sum,imperfect_grid,5,0.1,0,5,11
push_sum,imperfect_grid,5,0.5,0.5,25,7
push_sum,fully_connected,5,0,0.1,5,11
push_sum,grid,5,0,0.1,25,9
push_sum,imperfect_grid,5,0.5,0.1,50,8
push_sum,imperfect_grid,5,0.5,0.5,50,8
push_sum,imperfect_grid,5,0,0,25,8
push_sum,imperfect_grid,5,0.5,0.1,25,8
push_sum,imperfect_grid,5,0,0.5,25,8
push_sum,fully_connected,10,0.1,0.1,25,10
push_sum,line,5,0.5,0.5,25,7
push_sum,fully_connected,10,0.5,0.5,5,7
push_sum,line,5,0.1,0.1,50,10
push_sum,imperfect_grid,5,0,0.5,50,7
push_sum,line,5,0.5,0.5,50,9
push_sum,imperfect_grid,5,0,0,5,9
push_sum,fully_connected,10,0,0.5,5,9
push_sum,grid,10,0,0.1,50,10
push_sum,fully_connected,10,0,0.5,50,7
push_sum,grid,5,0.5,0.1,5,12
push_sum,fully_connected,10,0.1,0.5,50,7
push_sum,grid,5,0,0.1,50,23
push_sum,fully_connected,10,0.5,0.1,5,11
push_sum,grid,10,0.1,0.1,5,16
push_sum,line,5,0.5,0.1,50,7
push_sum,imperfect_grid,5,0.1,0.5,5,9
push_sum,grid,5,0.5,0.1,50,13
push_sum,imperfect_grid,5,0,0.1,50,13
push_sum,fully_connected,10,0.5,0.5,25,7
push_sum,imperfect_grid,5,0.1,0.1,25,14
push_sum,fully_connected,10,0,0,5,460
push_sum,grid,10,0.1,0.5,5,8
push_sum,imperfect_grid,5,0.1,0,25,19
push_sum,fully_connected,10,0.1,0.5,25,10
push_sum,imperfect_grid,5,0.1,0.1,5,14
push_sum,imperfect_grid,5,0.1,0.5,50,8
push_sum,imperfect_grid,5,0.5,0.1,5,15
push_sum,imperfect_grid,5,0,0.1,25,8
push_sum,imperfect_grid,5,0.1,0.5,25,8
push_sum,line,5,0.1,0.1,25,14
push_sum,grid,10,0,0.5,5,7
push_sum,fully_connected,10,0.1,0.5,5,9
push_sum,imperfect_grid,5,0.5,0,50,10
push_sum,grid,10,0.5,0.5,50,7
push_sum,grid,10,0,0.5,25,7
push_sum,grid,5,0.5,0,5,533
push_sum,imperfect_grid,10,0.1,0.5,5,8
push_sum,fully_connected,10,0,0.1,50,8
push_sum,imperfect_grid,5,0.1,0.1,50,10
