Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,imperfect_grid,10,0,0,10,28,"violent"
push_sum,fully_connected,10,0,0,10,388,"violent"
push_sum,imperfect_grid,50,0,0,10,106,"violent"
push_sum,imperfect_grid,20,0,0,10,93,"violent"
push_sum,imperfect_grid,100,0,0,10,199,"violent"
push_sum,imperfect_grid,75,0,0,10,232,"violent"
push_sum,grid,20,0,0,10,2531,"violent"
push_sum,fully_connected,20,0,0,10,722,"violent"
push_sum,grid,10,0,0,10,763,"violent"
push_sum,imperfect_grid,250,0,0,10,1704,"violent"
push_sum,imperfect_grid,500,0,0,10,1814,"violent"
push_sum,line,10,0,0,10,2359,"violent"
push_sum,fully_connected,50,0,0,10,2570,"violent"
push_sum,fully_connected,75,0,0,10,3634,"violent"
push_sum,fully_connected,100,0,0,10,4056,"violent"
push_sum,line,75,0,0,10,8529,"violent"
push_sum,fully_connected,250,0,0,10,11977,"violent"
push_sum,line,20,0,0,10,15860,"violent"
push_sum,fully_connected,500,0,0,10,25559,"violent"
push_sum,grid,50,0,0,10,25769,"violent"
